"","dem","temp","rain","distance_water","frostdays","sunhours","tpi","slope","aspect","site","lon","lat"
"70",207,9.5,636,4194.17041015625,7,2.22316908836365,-35.5,0.744789004325867,1,1,9.65884764336085,49.8602089589812
"71",278,9.10000038146973,664,4287.9697265625,7,3,-6.875,0.482867568731308,2,1,9.66285107789292,49.9438062343794
"72",257,9.30000019073486,652,4794.162109375,7,2.96462512016296,4.875,2.23345637321472,1,1,9.66961219567295,49.8582138867759
"73",258,9.19999980926514,654,4879.29833984375,7,2.5737566947937,-14,1.43982112407684,4,1,9.6745394573193,49.896663255953
"74",258,9.30000019073486,651,5468.38427734375,7,2.91014051437378,-12.75,0.830451369285583,6,1,9.67821508797513,49.8943271106023
"75",284,9,670,3666.8544921875,7.08886671066284,3,5.5,2.18926501274109,2,1,9.67829135629626,49.9785369128657
"76",270,9.19999980926514,654,5698.73779296875,7,2.99777317047119,-18.25,1.67837607860565,5,1,9.68072642012901,49.9055272772067
"77",336,8.80000019073486,707,6067.0029296875,7.81051588058472,3,16.375,1.53922772407532,1,1,9.68303180256801,49.7529171792182
"78",170,9.5,601,0,6.92865753173828,2.53484582901001,-55,4.27739763259888,1,1,9.68629273867556,50.0532469431025
"79",271,9.10000038146973,653,4081.994140625,7.22517442703247,3,-7.25,2.04520463943481,3,1,9.68691968337441,49.9681260155146
"80",354,8.69999980926514,712,6552.453125,7.68127727508545,3,36.5,1.25258493423462,8,1,9.68843546057844,49.7580696757122
"81",290,9.19999980926514,669,6066.35400390625,7.07819843292236,3,-33.875,0.834104120731354,8,1,9.68895102376642,49.7597794564243
"82",259,9.10000038146973,650,3667.12084960938,7.07999038696289,3,-13.5,0.288927316665649,1,1,9.69413272390804,49.9709222118258
"83",232,9.39999961853027,633,7190.00634765625,7,3,-13.375,0.75000387430191,5,1,9.70357599437143,49.8617692095155
"84",227,9.39999961853027,633,7789.17333984375,7,3,-20.625,0.484275460243225,5,1,9.70946208056774,49.8584867527887
"85",303,9,668,3588.19677734375,7.00007009506226,3,9.875,1.68437218666077,7,1,9.70971871148035,49.9530137665958
"86",170,9.60000038146973,602,0,7.00974225997925,2.19695615768433,-62.625,1.64320194721222,3,1,9.71323390575911,50.0050012893822
"87",170,9.60000038146973,602,0,7.00974225997925,2.19695615768433,-62.625,1.64320194721222,3,1,9.71530979880334,50.0062380839784
"88",303,9,668,3588.19677734375,7.00007009506226,3,9.875,1.68437218666077,7,1,9.71616851090037,49.9580774289883
"89",310,9.10000038146973,673,7731.74267578125,7.00040054321289,3,-3.375,1.03840160369873,5,1,9.71942246241808,49.7614804200617
"90",244,9.30000019073486,639,7043.373046875,7,3,-2.25,0.421101987361908,6,1,9.71961383056743,49.8744766279236
"91",276,9.10000038146973,653,1947.76147460938,7.37791395187378,2.9043173789978,6.875,2.82682180404663,2,1,9.72142946226746,49.9827372877139
"92",274,9.19999980926514,654,6267.95458984375,7,3,15.875,0.69430685043335,5,1,9.72240090116891,49.8915349741306
"93",310,9,670,3026.68823242188,7.18095588684082,3,0.5,0.741708636283875,6,1,9.72859782912933,49.9362198325547
"94",266,9.19999980926514,655,5467.47021484375,7,3,-13,0.872583389282227,5,1,9.72894367329024,49.8921039324677
"95",323,8.89999961853027,680,3027.01293945312,7.34763860702515,3,16,1.12645137310028,2,1,9.73776362899631,49.9314805228863
"96",331,8.80000019073486,681,4412.9853515625,7.52522277832031,3,18.25,0.965063989162445,5,1,9.7388175247654,49.9146145539546
"97",169,9.5,602,0,6.43078088760376,2.08029079437256,-33.625,2.22986698150635,5,1,9.74073210154006,49.9927899014596
"98",261,9.19999980926514,653,9043.630859375,7,3,-14.5,1.06341564655304,4,1,9.74322161285262,49.8124362383525
"99",213,9.5,605,0,7,2.89979767799377,-18,2.61662578582764,5,1,9.74556406123522,50.0272499503706
"100",167,9.5,607,597.619873046875,6.6250057220459,2.02716755867004,-15.25,0.365447878837585,6,1,9.74778358969148,49.9914254161201
"101",232,9.19999980926514,635,0,6.35360813140869,2.18831896781921,21.875,3.11476230621338,6,1,9.75578948839425,49.9977128818731
